lat,lng,city,state_id
44.8228,-87.3661,Sturgeon_Bay,WI
44.1935,-88.2941,Harrison,WI
44.267,-88.3377,Kimberly,WI
43.8107,-88.4861,North_Fond_du_Lac,WI
44.4721,-88.0261,Allouez,WI
43.0196,-89.2868,McFarland,WI
44.1564,-87.5824,Two_Rivers,WI
45.636,-89.4256,Rhinelander,WI
43.7718,-88.4397,Fond_du_Lac,WI
42.6411,-87.8919,Somers,WI
42.5864,-87.8762,Kenosha,WI
43.9167,-88.0266,Kiel,WI
42.7274,-87.8135,Racine,WI
42.5266,-87.8895,Pleasant_Prairie,WI
43.0642,-87.9673,Milwaukee,WI
43.006,-89.7317,Mount_Horeb,WI
43.0774,-88.9055,Lake_Mills,WI
42.9716,-87.8729,St._Francis,WI
43.4688,-88.8311,Beaver_Dam,WI
42.7129,-87.8875,Mount_Pleasant,WI
43.072,-88.3913,Delafield,WI
44.3508,-89.0721,Waupaca,WI
44.954,-92.3709,Baldwin,WI
42.6863,-88.0495,Union_Grove,WI
42.941,-88.0491,Hales_Corners,WI
43.0914,-87.8864,Shorewood,WI
42.603,-89.6381,Monroe,WI
43.7403,-87.7316,Sheboygan,WI
44.9196,-89.6771,Rib_Mountain,WI
44.5241,-89.5508,Stevens_Point,WI
43.9376,-90.813,Sparta,WI
43.988,-90.4996,Tomah,WI
43.0087,-88.2464,Waukesha,WI
43.8241,-91.2268,La_Crosse,WI
43.064,-88.1231,Brookfield,WI
42.9619,-88.0051,Greenfield,WI
43.1064,-89.5058,Middleton,WI
42.7279,-90.4675,Platteville,WI
42.9467,-87.8641,Cudahy,WI
42.6855,-89.0136,Janesville,WI
43.1893,-88.7285,Watertown,WI
45.0869,-87.6327,Marinette,WI
42.7646,-88.2158,Waterford,WI
44.0228,-88.5617,Oshkosh,WI
44.4966,-88.1602,Hobart,WI
46.5801,-90.8715,Ashland,WI
43.729,-87.8266,Sheboygan_Falls,WI
43.9701,-91.2671,Holmen,WI
44.9639,-92.7316,Hudson,WI
42.823,-88.1573,Wind_Lake,WI
43.5489,-89.4658,Portage,WI
44.82,-91.4951,Eau_Claire,WI
46.6941,-92.0823,Superior,WI
44.2125,-88.4271,Menasha,WI
43.6315,-88.7379,Waupun,WI
43.2352,-87.9838,Mequon,WI
44.4313,-88.0793,De_Pere,WI
43.0701,-88.2411,Pewaukee,WI
42.7781,-89.2967,Evansville,WI
43.1027,-88.34,Hartland,WI
44.167,-88.4763,Neenah,WI
43.0434,-91.1383,Prairie_du_Chien,WI
43.2991,-87.9887,Cedarburg,WI
44.7749,-88.5844,Shawano,WI
44.6627,-90.1728,Marshfield,WI
42.9236,-89.2219,Stoughton,WI
43.1288,-87.9277,Glendale,WI
43.0994,-88.4951,Oconomowoc,WI
42.5378,-88.0149,Bristol,WI
43.2372,-88.2413,Richfield,WI
43.1833,-89.4433,Waunakee,WI
43.2406,-89.2952,Windsor,WI
43.3204,-87.9481,Grafton,WI
43.4697,-89.7378,Baraboo,WI
43.888,-91.2074,Onalaska,WI
43.3317,-88.2799,Slinger,WI
42.5192,-88.2489,Twin_Lakes,WI
42.8566,-88.3269,Mukwonago,WI
44.8906,-89.5487,Weston,WI
44.8164,-89.5807,Kronenwetter,WI
